"Date","Depth","Site","Plot","Year","Value"
2011-07-01,10,"IN_Randolph","SW",2011,0.279
2011-07-01,20,"IN_Randolph","SW",2011,0.337
2011-07-01,40,"IN_Randolph","SW",2011,0.373
2011-07-01,60,"IN_Randolph","SW",2011,0.329
2011-07-01,100,"IN_Randolph","SW",2011,0.401
2011-07-02,10,"IN_Randolph","SW",2011,0.281
2011-07-02,20,"IN_Randolph","SW",2011,0.339
2011-07-02,40,"IN_Randolph","SW",2011,0.375
2011-07-02,60,"IN_Randolph","SW",2011,0.331
2011-07-02,100,"IN_Randolph","SW",2011,0.402
2011-07-03,10,"IN_Randolph","SW",2011,0.283
2011-07-03,20,"IN_Randolph","SW",2011,0.344
2011-07-03,40,"IN_Randolph","SW",2011,0.378
2011-07-03,60,"IN_Randolph","SW",2011,0.333
2011-07-03,100,"IN_Randolph","SW",2011,0.403
2011-07-04,10,"IN_Randolph","SW",2011,0.28
2011-07-04,20,"IN_Randolph","SW",2011,0.346
2011-07-04,40,"IN_Randolph","SW",2011,0.381
2011-07-04,60,"IN_Randolph","SW",2011,0.336
2011-07-04,100,"IN_Randolph","SW",2011,0.404
2011-07-05,10,"IN_Randolph","SW",2011,0.277
2011-07-05,20,"IN_Randolph","SW",2011,0.345
2011-07-05,40,"IN_Randolph","SW",2011,0.382
2011-07-05,60,"IN_Randolph","SW",2011,0.337
2011-07-05,100,"IN_Randolph","SW",2011,0.405
2011-07-06,10,"IN_Randolph","SW",2011,0.275
2011-07-06,20,"IN_Randolph","SW",2011,0.347
2011-07-06,40,"IN_Randolph","SW",2011,0.384
2011-07-06,60,"IN_Randolph","SW",2011,0.338
2011-07-06,100,"IN_Randolph","SW",2011,0.406
2011-07-07,10,"IN_Randolph","SW",2011,0.272
2011-07-07,20,"IN_Randolph","SW",2011,0.346
2011-07-07,40,"IN_Randolph","SW",2011,0.385
2011-07-07,60,"IN_Randolph","SW",2011,0.34
2011-07-07,100,"IN_Randolph","SW",2011,0.407
2011-07-08,10,"IN_Randolph","SW",2011,0.269
2011-07-08,20,"IN_Randolph","SW",2011,0.346
2011-07-08,40,"IN_Randolph","SW",2011,0.385
2011-07-08,60,"IN_Randolph","SW",2011,0.342
2011-07-08,100,"IN_Randolph","SW",2011,0.409
2011-07-09,10,"IN_Randolph","SW",2011,0.267
2011-07-09,20,"IN_Randolph","SW",2011,0.344
2011-07-09,40,"IN_Randolph","SW",2011,0.385
2011-07-09,60,"IN_Randolph","SW",2011,0.343
2011-07-09,100,"IN_Randolph","SW",2011,0.41
2011-07-10,10,"IN_Randolph","SW",2011,0.267
2011-07-10,20,"IN_Randolph","SW",2011,0.346
2011-07-10,40,"IN_Randolph","SW",2011,0.387
2011-07-10,60,"IN_Randolph","SW",2011,0.344
2011-07-10,100,"IN_Randolph","SW",2011,0.411
